#, Country, Town, Lat, Lon, IP, Hostname, Latency (ms), DNS Lookup (ms), Distance to previous node (km), 
1, United States, (Unknown), 37.751, -97.822, 174.205.96.232, (None), 7, 15091, 0, 
2, United States, (Unknown), 37.751, -97.822, 66.174.32.21, 21.sub-66-174-32.myvzw.com, 58, 15081, 0, 
3, *, *, 37.751, -97.822, *, *, 0, 0, 0, 
4, *, *, 37.751, -97.822, *, *, 0, 0, 0, 
5, United States, (Unknown), 37.751, -97.822, 69.83.175.50, 50.sub-69-83-175.myvzw.com, 56, 15066, 0, 
6, *, *, 37.751, -97.822, *, *, 0, 0, 0, 
7, United States, (Unknown), 37.751, -97.822, 69.83.162.80, 80.sub-69-83-162.myvzw.com, 75, 15093, 0, 
8, United States, (Unknown), 37.751, -97.822, 69.83.160.125, 125.sub-69-83-160.myvzw.com, 74, 15087, 0, 
9, United States, Purchase, 41.0387, -73.7173, 140.222.5.224, 0.csi1.NLVGNVOQ-MSE01-BB-SU1.ALTER.NET, 77, 15096, 2098, 
10, *, *, 41.0387, -73.7173, *, *, 0, 0, 0, 
11, *, *, 41.0387, -73.7173, *, *, 0, 0, 0, 
12, United States, Purchase, 41.0387, -73.7173, 140.222.238.83, 0.ae6.GW9.SEA1.ALTER.NET, 77, 15158, 0, 
13, United States, Ashburn, 39.018, -77.539, 204.148.146.110, customer.alter.net, 89, 15171, 395, 
14, United States, (Unknown), 37.751, -97.822, 104.16.51.14, (None), 96, 15098, 1771, 
